sample	irma_HA	irma_NA	vapor_HA	vapor_NA
SRR3098078	?	?	9	2
SRR1521153	3	8	3	8
SRR5428784	1	?	1	?
SRR7974487	3	?	3	?
SRR14341089	1	1	1	1
SRR10015147	?	1	?	1
SRR27490361	1	1	1	1
SRR24839074	5	1	5	1
SRR24839293	5	1	5	1
SRR24839512	5	1	5	1
SRR24839731	5	1	5	1
SRR24843238	5	1	5	1
SRR28073557	?	?	3	2
SRR13318574	1	?	1	?
SRR14996552	?	2	?	2
SRR15282589	2	2	2	2
SRR15282815	2	2	2	2
SRR19392179	1	1	1	1
SRR17349418	7	3	7	3
SRR4420142	1	1	1	1
SRR6674560	3	2	3	2
SRR11445778	3	2	3	2
SRR11445997	3	2	3	2
SRR8893303	3	?	3	?
SRR10960857	3	2	3	2
SRR10161120	?	?	?	?
SRR10058426	3	?	?	?
SRR14242158	3	2	3	2
SRR23717289	3	2	3	2
SRR25222433	9	2	9	2
SRR28420271	3	2	3	2
SRR28752564	5	1	5	1
SRR28388424	1	1	1	1
SRR24842841	5	1	5	1
SRR24843204	5	1	5	1
SRR12389595	3	8	3	8
SRR16232025	7	9	7	9
SRR16359814	9	2	9	2
SRR18273475	3	2	3	2
SRR28995119	1	1	1	1
SRR29040774	3	2	3	2
SRR29455647	5	1	5	1
SRR29740564	5	1	5	1
SRR29267679	3	2	3	2
SRR29281447	5	1	5	1
SRR29360497	3	2	3	2
SRR29377895	5	1	5	1
SRR23143804	3	2	3	2
SRR30202051	5	1	5	1
SRR30027723	3	2	3	2
SRR27384572	3	2	3	2
SRR29694533	5	1	5	1
SRR27181059	3	2	3	2
SRR27181278	3	2	3	2
SRR27181497	3	2	3	2
SRR27181716	1	1	1	1
SRR30610040	?	?	?	?
SRR30714652	3	2	?	?
SRR30546773	3	2	3	2
SRR30589488	3	2	3	2
SRR3098101	?	?	5	6
SRR1521154	3	8	3	8
SRR5428785	1	?	1	?
SRR7974488	3	?	3	?
SRR14341090	1	1	1	1
SRR11908080	6	5	6	5
SRR27490362	1	1	1	1
SRR24839075	5	1	5	1
SRR24839294	5	1	5	1
SRR24839513	5	1	5	1
SRR24839732	5	1	5	1
SRR24843239	5	1	5	1
SRR28073558	?	?	1	1
SRR13318575	1	?	1	?
SRR15282364	2	2	2	2
SRR15282590	2	2	2	2
SRR15282816	2	2	2	2
SRR19392180	1	1	1	1
SRR17349419	7	3	7	3
SRR4420143	1	1	1	1
SRR6674561	3	2	3	2
SRR11445779	3	2	3	2
SRR11445998	3	2	3	2
SRR8893304	3	?	3	?
SRR10960858	3	2	3	2
SRR10161121	?	?	?	?
SRR10058427	3	?	?	?
SRR25784102	3	2	3	2
SRR14242159	3	2	3	2
SRR23717290	3	2	3	2
SRR25222434	9	2	9	2
SRR28420279	3	2	3	2
SRR28752565	5	1	5	1
SRR28388425	?	?	1	?
SRR24842842	5	1	5	1
SRR24843212	5	1	5	1
SRR12389596	9	2	9	2
SRR16232026	7	9	7	9
SRR16359815	9	2	9	2
SRR18273476	3	2	3	2
SRR28995120	1	1	1	1
SRR29040775	3	2	3	2
SRR29478177	1	1	1	1
SRR29740674	5	1	5	1
SRR29267680	3	2	3	2
SRR29281448	5	1	5	1
SRR29360498	1	1	1	1
SRR29377896	5	1	5	1
SRR29008725	3	2	3	2
ERR13358324	3	2	3	2
SRR30027724	1	1	1	1
SRR27384573	3	2	3	2
SRR29694534	5	1	5	1
SRR27181060	3	2	?	2
SRR27181279	?	?	?	?
SRR27181498	3	2	3	2
SRR27181717	3	2	3	2
SRR30610041	?	?	?	?
SRR30714653	3	2	3	2
SRR30546774	3	2	3	2
SRR30589489	3	2	3	2
SRR3098125	?	?	6	6
SRR1521155	3	8	3	8
SRR5428786	1	?	1	?
SRR7974489	3	?	3	?
SRR14341091	1	1	1	1
SRR27490363	1	1	1	1
SRR24839076	5	1	5	1
SRR24839295	5	1	5	1
SRR24839514	5	1	5	1
SRR24839733	5	1	5	1
SRR24843241	5	1	5	1
SRR28073559	?	?	3	2
SRR13318576	1	?	1	?
SRR15282365	2	2	2	2
SRR15282591	2	2	2	2
SRR15282817	2	2	2	2
SRR19392181	1	1	1	1
SRR17349420	7	3	7	3
SRR4420144	1	1	1	1
SRR6674562	3	2	3	2
SRR11445780	3	2	3	2
SRR11445999	3	2	3	2
SRR8893305	3	?	3	?
SRR10960859	3	2	3	2
SRR10161122	?	?	?	?
SRR10058428	3	?	3	?
SRR25784103	3	2	3	2
SRR14242160	3	2	3	2
SRR23717291	3	2	3	2
SRR25222435	9	2	9	2
SRR28420307	3	2	3	2
SRR28752566	5	1	5	1
SRR28388426	1	1	1	1
SRR24842843	5	1	5	1
SRR24843213	5	1	5	1
SRR12389597	4	8	?	8
SRR16232027	7	9	7	9
SRR16359816	9	2	9	2
SRR18273477	3	2	3	2
SRR29951903	1	1	1	1
SRR28995121	1	1	1	1
SRR29040776	1	1	1	1
SRR29478178	1	1	1	1
SRR29740675	5	1	5	1
SRR29267681	3	2	3	2
SRR29281449	5	1	5	1
SRR29360499	3	2	3	2
SRR29377897	5	1	5	1
SRR29008726	3	2	3	2
ERR13358294	3	2	3	2
SRR30027725	3	2	3	2
SRR27384574	1	1	1	1
SRR29694535	5	1	5	1
SRR27181061	3	2	3	2
SRR27181280	3	2	3	2
SRR27181499	3	2	3	2
SRR27181718	3	2	3	2
SRR30610042	?	?	?	?
SRR30714654	3	2	3	?
SRR30546775	3	2	3	2
SRR30589490	3	2	3	2
SRR3098126	?	?	3	2
SRR1521178	3	8	3	8
SRR5428787	1	?	1	?
SRR7974490	3	?	3	?
SRR14341092	1	1	1	1
ERR11523534	3	2	3	2
SRR27490364	1	1	1	1
SRR24839077	5	1	5	1
SRR24839296	5	1	5	1
SRR24839515	5	1	5	1
SRR24839734	5	1	5	1
SRR24843247	5	1	5	1
SRR28073560	?	?	3	2
SRR13318577	1	?	1	?
SRR15282366	2	2	2	2
SRR15282592	2	2	2	2
SRR19392182	1	1	1	1
SRR17349421	7	3	7	3
SRR4420145	1	1	1	1
SRR6674563	3	2	3	2
SRR11445781	3	2	3	2
SRR11446000	3	2	3	2
SRR8875106	3	?	3	?
SRR10960860	3	2	3	2
SRR10161123	?	?	?	?
SRR10058429	3	?	3	?
SRR25784104	3	2	3	2
SRR14242161	3	2	3	2
SRR23717292	3	2	3	2
SRR25222436	9	2	9	2
SRR28420308	1	1	1	1
SRR28752567	5	1	5	1
SRR28388427	1	1	1	1
SRR24842844	5	1	5	1
SRR24843214	5	1	5	1
SRR12389598	9	?	9	?
SRR16232028	7	9	7	2
SRR16359817	9	2	9	2
SRR18273478	3	2	3	2
SRR29951904	1	1	1	1
SRR28995122	1	1	1	1
SRR29040777	1	1	1	1
SRR29478179	1	1	1	1
SRR29740676	5	1	5	1
SRR29267682	1	1	1	1
SRR29281450	5	1	5	1
SRR29360500	3	2	3	2
SRR29377898	5	1	5	1
SRR29008727	3	2	3	2
ERR13358264	3	2	3	2
SRR30027726	3	2	3	2
SRR27384575	3	2	3	2
SRR29694536	5	1	5	1
SRR27181062	?	2	?	2
SRR27181281	1	2	1	2
SRR27181500	3	2	3	2
SRR27181719	1	1	1	1
SRR30610043	?	?	?	?
SRR30546776	3	2	3	2
SRR30589491	3	2	3	2
SRR3098127	?	?	5	6
SRR5930374	1	?	1	?
SRR5428788	1	?	1	?
SRR7974491	3	?	3	?
SRR14341093	1	1	1	1
ERR11523535	1	1	1	1
SRR27490365	1	1	1	1
SRR24839078	5	1	5	1
SRR24839297	5	1	5	1
SRR24839516	5	1	5	1
SRR24839735	5	1	5	1
SRR24843248	5	1	5	1
SRR28073561	?	?	3	2
SRR13318578	1	?	1	?
SRR15282367	2	2	2	2
SRR15282593	2	2	2	2
SRR15282819	2	2	2	2
SRR19392183	1	1	1	1
SRR17349422	7	3	7	3
SRR6488517	7	9	7	9
SRR6674564	3	2	3	2
SRR11445782	3	2	3	2
SRR11446001	3	2	3	2
SRR8875107	3	?	3	?
SRR10960861	3	2	3	2
SRR10161124	?	?	?	?
SRR10058430	3	?	3	?
SRR25784105	1	1	1	1
SRR14242162	3	2	3	2
SRR23717293	3	2	3	2
SRR25222437	1	?	1	?
SRR28420309	3	2	3	2
SRR28752568	5	1	5	1
SRR28388428	1	1	1	1
SRR24842845	5	1	5	1
SRR24843216	5	1	5	1
SRR12389599	3	8	3	8
SRR16232029	7	9	7	9
SRR16359818	9	2	9	2
SRR18273479	3	2	3	2
SRR28995123	1	1	1	1
SRR29040778	1	1	1	1
SRR29478180	1	1	1	1
SRR29740677	5	1	5	1
SRR29267683	3	2	3	2
SRR29281451	5	1	5	1
SRR29360501	3	2	3	2
SRR29377899	5	1	5	1
SRR29008728	1	1	1	1
ERR13358285	3	2	3	2
SRR30027727	3	2	3	2
SRR27384576	3	2	3	2
SRR29679722	?	?	1	1
SRR29694537	5	1	5	1
SRR27181063	1	1	1	1
SRR27181282	1	1	1	1
SRR27181501	3	2	3	2
SRR27181720	3	2	3	2
SRR30610044	?	?	?	?
SRR30714656	3	2	3	2
SRR30546777	1	1	1	1
SRR30589492	3	2	3	2
SRR3098129	?	?	3	2
SRR5930375	1	?	1	?
SRR5428789	1	?	1	?
SRR7974492	3	?	3	?
SRR14341094	1	1	1	1
SRR27709503	?	?	?	?
SRR27490366	1	1	1	1
SRR24839079	5	1	5	1
SRR24839298	5	1	5	1
SRR24839517	5	1	5	1
SRR24839736	5	1	5	1
SRR24843249	5	1	5	1
SRR28073562	?	?	3	2
SRR13318579	1	?	1	?
SRR15282368	2	2	2	2
SRR15282594	2	2	2	2
SRR15282820	2	2	2	2
SRR19392184	1	1	1	1
SRR17349423	7	3	7	3
SRR6488518	7	9	7	9
SRR6674565	3	2	3	2
SRR11445783	3	2	3	2
SRR11446002	3	2	3	2
SRR8875108	3	?	3	?
SRR10960862	3	2	3	2
SRR10161125	?	?	?	?
SRR10058431	3	?	?	?
SRR25784106	3	2	3	2
SRR14242163	3	2	3	2
SRR23717294	3	2	3	2
SRR25222438	?	?	?	?
SRR28420310	3	2	3	2
SRR28752569	5	1	5	1
SRR28388429	1	1	1	1
SRR24842846	5	1	5	1
SRR24843218	5	1	5	1
SRR12389600	4	6	4	6
SRR16232030	7	9	7	9
SRR16359819	9	2	9	2
SRR18273480	3	2	3	2
SRR28995124	1	1	1	1
SRR29040779	1	1	1	1
SRR29478181	3	2	3	2
SRR29740678	5	1	5	1
SRR29267684	3	2	3	2
SRR29281452	5	1	5	1
SRR29360502	3	2	3	2
SRR29377900	5	1	5	1
SRR29008729	1	1	1	1
ERR13358288	1	1	1	1
SRR30027728	1	1	1	1
SRR27384577	3	2	3	2
SRR29679757	?	?	1	1
SRR29694538	5	1	5	1
SRR27181283	1	1	1	1
SRR27181502	1	1	1	1
SRR27181721	3	2	3	2
SRR30610045	?	?	?	?
SRR30714657	3	2	3	2
SRR30561695	3	2	3	2
SRR30589493	3	2	3	2
SRR3098131	?	?	6	6
SRR5930376	1	?	1	?
SRR5428790	1	?	1	?
SRR7974493	3	?	3	?
SRR14341095	1	1	1	1
SRR27709504	?	?	?	?
SRR27490367	1	1	1	1
SRR24839080	5	1	5	1
SRR24839299	5	1	5	1
SRR24839518	5	1	5	1
SRR24839737	5	1	5	1
SRR24843250	5	1	5	1
SRR28073563	?	?	3	2
SRR15011445	1	1	1	1
SRR15282369	2	2	2	2
SRR15282595	2	2	2	2
SRR15282821	2	2	2	2
SRR19392185	1	1	1	1
SRR17349424	7	3	7	3
SRR6488519	7	9	7	9
SRR6674566	3	2	3	2
SRR11445784	3	2	3	2
SRR11446003	3	2	3	2
SRR8875109	3	?	3	?
SRR10960863	3	2	3	2
SRR10058432	3	?	?	?
SRR25784107	1	1	1	1
SRR14242164	3	2	3	2
SRR23717295	3	2	3	2
SRR25222439	9	2	9	2
SRR28420311	1	1	1	1
SRR28752570	5	1	5	1
SRR28388430	1	1	1	1
SRR24842847	5	1	5	1
SRR24843219	5	1	5	1
SRR12389601	3	2	3	2
SRR16232031	7	2	7	2
SRR16359820	9	2	9	2
SRR18273481	3	2	3	2
SRR29953194	5	1	5	1
SRR28995125	1	1	1	1
SRR29040780	1	1	1	1
SRR29478182	3	2	3	2
SRR29740679	5	1	5	1
SRR29267685	3	2	3	2
SRR29281453	5	1	5	1
SRR29360503	3	2	3	2
SRR29377901	5	1	5	1
SRR29008730	1	1	1	1
ERR13358289	3	2	3	2
SRR30027729	3	2	3	2
SRR27384578	3	2	3	2
SRR29679763	?	?	1	1
SRR29694539	5	1	5	1
SRR27181065	1	2	1	2
SRR27181284	1	1	1	1
SRR27181503	?	1	1	1
SRR27181722	?	2	?	2
SRR30610046	?	?	?	?
SRR30561696	3	2	3	2
SRR30589494	3	2	3	2
SRR3098133	?	?	5	6
SRR5930377	1	?	1	?
SRR5428791	1	?	1	?
SRR7974496	3	?	3	?
SRR14341096	1	1	1	1
SRR27709505	?	?	?	?
SRR27490368	1	1	1	1
SRR24839081	5	1	5	1
SRR24839300	5	1	5	1
SRR24839519	5	1	5	1
SRR24839738	5	1	5	1
SRR24843251	5	1	5	1
SRR28073564	?	?	1	1
ERR3474577	3	2	3	2
SRR15282370	2	2	2	2
SRR15282596	2	2	2	2
SRR15282822	2	2	2	2
SRR19392186	1	1	1	1
SRR17349425	7	3	7	3
SRR6488520	7	9	7	9
SRR6674567	3	2	3	2
SRR11445785	3	2	3	2
SRR11446004	3	2	3	2
SRR8875110	3	?	3	?
SRR10960864	1	1	1	1
SRR10058433	3	?	3	?
SRR25784108	1	1	1	1
SRR14242165	3	2	3	2
SRR28616365	?	?	5	1
SRR25222452	9	2	9	2
SRR28420312	3	2	3	2
SRR28752571	5	1	5	1
SRR28388431	1	1	1	1
SRR24842851	5	1	5	1
SRR24843220	5	1	5	1
SRR12389602	3	2	3	2
SRR16232032	9	2	9	2
SRR16359821	1	2	1	2
SRR17771435	?	?	3	?
SRR18273482	3	2	3	2
SRR29953195	5	1	5	1
SRR28995126	1	1	1	1
SRR28834885	5	1	5	1
SRR29478183	3	2	3	2
SRR29740680	5	1	5	1
SRR29267686	3	2	3	2
SRR29281454	5	1	5	1
SRR29360504	3	2	3	2
SRR29377902	5	1	5	1
SRR29008731	1	1	1	1
ERR13358290	3	2	3	2
SRR30027730	3	2	3	2
SRR27384579	3	2	3	2
SRR29679769	?	?	1	1
SRR29694540	5	1	5	1
SRR27181066	1	1	1	1
SRR27181285	1	1	1	1
SRR27181504	1	1	1	1
SRR27181723	?	2	?	2
SRR30610047	?	?	?	?
SRR30714659	?	1	?	1
SRR30561697	3	2	3	2
SRR30589495	3	2	3	2
SRR3098134	?	?	5	1
SRR5930378	1	?	1	?
SRR5428792	1	?	1	?
SRR7974497	3	?	3	?
SRR14341097	1	1	1	1
SRR27709506	?	?	?	?
SRR27490369	1	1	1	1
SRR24839082	5	1	5	1
SRR24839301	5	1	5	1
SRR24839520	5	1	5	1
SRR24839739	5	1	5	1
SRR24843252	5	1	5	1
SRR28073565	?	?	1	1
ERR3474578	3	2	3	?
SRR15282371	2	2	2	2
SRR15282597	2	2	2	2
SRR15282823	2	2	2	2
SRR19392187	1	1	1	1
SRR17349426	7	3	7	3
SRR6488521	7	9	7	9
SRR6674568	3	2	3	2
SRR11445786	3	2	3	2
SRR11446005	3	2	3	2
SRR8875111	3	?	3	?
SRR10960865	3	2	3	2
SRR10161128	?	?	?	?
SRR10058434	3	?	?	?
SRR25784109	3	2	3	2
SRR14242166	3	2	3	2
SRR28616366	?	?	5	1
SRR25222453	9	2	9	2
SRR28420313	3	2	3	2
SRR28752572	5	1	5	1
SRR28388432	1	1	1	1
SRR24842853	5	1	5	1
SRR24843221	5	1	5	1
SRR12389603	6	8	6	8
SRR16232033	9	2	9	2
SRR16359822	9	2	9	2
SRR18273483	3	2	3	2
SRR29953196	5	1	5	1
SRR28995127	1	1	1	1
SRR28834886	5	1	5	1
SRR29478184	3	2	3	2
SRR29740681	5	1	5	1
SRR29267687	3	2	3	2
SRR29281455	5	1	5	1
SRR29360505	3	2	3	2
SRR29377903	5	1	5	1
SRR29008732	1	1	1	1
ERR13358291	3	2	3	2
SRR30027731	3	2	3	2
SRR27384580	3	2	3	2
SRR29679770	?	?	1	1
SRR29694541	5	1	5	1
SRR27181067	1	1	1	1
SRR27181286	1	1	1	1
SRR27181505	1	1	1	1
SRR27181724	3	2	3	2
SRR30610048	?	?	?	?
SRR30561698	1	1	1	1
SRR30589496	3	2	3	2
SRR3098135	?	?	3	3
SRR5930379	1	?	1	?
SRR5428793	1	?	1	?
SRR7974498	3	?	3	?
SRR14341098	1	1	1	1
SRR27709507	?	?	?	?
SRR27490370	1	1	1	1
SRR24839083	5	1	5	1
SRR24839302	5	1	5	1
SRR24839521	5	1	5	1
SRR24839740	5	1	5	1
SRR24843253	5	1	5	1
SRR28073566	?	?	1	1
ERR3474579	3	2	3	2
SRR15282372	2	2	2	2
SRR15282598	2	2	2	2
SRR15282824	2	2	2	2
SRR19392188	1	1	1	1
SRR17349427	7	3	7	3
SRR6488522	7	9	7	9
SRR6674569	3	2	3	2
SRR11445787	3	2	3	2
ERR4552844	1	1	1	1
SRR8875112	3	?	3	?
SRR10960866	3	2	3	2
SRR10161129	?	?	?	?
SRR10058435	3	?	?	?
SRR14242167	3	2	3	2
SRR28616367	?	?	5	1
SRR25222454	?	2	?	2
SRR28420314	3	2	3	2
SRR28752573	5	1	5	1
SRR28388433	1	1	1	1
SRR24842854	5	1	5	1
SRR24843222	5	1	5	1
SRR12389604	1	9	11	9
SRR16232034	7	9	7	9
SRR16359823	9	2	9	2
SRR18273484	3	2	3	2
SRR29953197	5	1	5	1
SRR28995128	1	1	1	1
SRR28834887	5	1	5	1
SRR29478185	3	2	3	2
SRR29740682	5	1	5	1
SRR29267688	3	2	3	2
SRR29281456	5	1	5	1
SRR29360506	3	2	3	2
SRR29377904	5	1	5	1
SRR29008733	1	1	1	1
ERR13358292	3	2	3	2
SRR30027732	3	2	3	2
SRR27384581	3	2	3	2
SRR29679771	?	?	1	1
SRR29694542	5	1	5	1
SRR27181068	3	2	3	2
SRR27181287	?	?	?	?
SRR27181506	3	2	3	2
SRR27181725	1	1	1	1
SRR30610049	?	?	?	?
SRR30714661	3	2	3	2
SRR30561699	1	1	1	1
SRR30589497	3	2	3	2
SRR3098136	?	?	5	1
SRR5930380	1	?	1	?
SRR5428794	1	?	1	?
SRR7974499	3	?	3	?
SRR14341099	1	1	1	1
SRR27709508	?	?	?	?
SRR27490371	1	1	1	1
SRR24839084	5	1	5	1
SRR24839303	5	1	5	1
SRR24839522	5	1	5	1
SRR24839741	5	1	5	1
SRR24843260	5	1	5	1
SRR28073567	?	?	3	2
ERR3474580	3	2	3	2
SRR15282373	2	2	2	2
SRR15282599	2	2	2	2
SRR15282825	2	2	2	2
SRR19392189	1	1	1	1
SRR17349428	7	3	7	3
SRR6488523	7	9	7	9
SRR6674570	3	2	3	2
SRR11445788	3	2	3	2
ERR4552845	1	1	1	1
SRR8875113	3	?	3	?
SRR10960867	1	1	1	1
SRR10161130	?	?	?	?
SRR10058436	3	?	?	?
SRR14242168	3	2	3	2
SRR28616368	?	?	5	1
SRR25222455	9	2	9	2
SRR28420315	3	2	3	2
SRR28752574	5	1	5	1
SRR28388434	1	1	1	1
SRR24842855	5	1	5	1
SRR24843223	5	1	5	1
SRR12389605	9	2	9	2
SRR16232035	7	9	7	9
SRR16359824	9	2	9	2
SRR17771438	3	?	3	?
SRR18273485	3	2	3	2
SRR29953198	5	1	5	1
SRR28995129	1	1	1	1
SRR28834893	5	1	5	1
SRR29478186	3	2	3	2
SRR29740683	5	1	5	1
SRR29267689	3	2	3	2
SRR29281457	5	1	5	1
SRR29360507	3	2	3	2
SRR29377905	5	1	5	1
SRR29008734	1	1	1	1
ERR13358293	3	2	3	2
SRR30027733	3	2	3	2
SRR27384582	3	2	3	2
SRR29679772	?	?	1	1
SRR29694543	5	1	5	1
SRR27181069	1	2	1	2
SRR27181288	3	2	3	2
SRR27181507	3	2	3	2
SRR27181726	1	2	1	2
SRR30561700	3	2	3	2
SRR30589498	3	2	3	2
SRR3098137	?	?	5	6
SRR5930381	1	?	1	?
SRR5428795	1	?	1	?
SRR7974500	3	?	3	?
SRR14341100	1	1	1	1
SRR27709509	?	?	?	?
SRR27490372	1	1	1	1
SRR24839085	5	1	5	1
SRR24839304	5	1	5	1
SRR24839523	5	1	5	1
SRR24839742	5	1	5	1
SRR24843261	5	1	5	1
SRR28073568	?	?	1	1
ERR3474581	1	1	1	1
SRR15282374	2	2	2	2
SRR15282600	2	2	2	2
SRR15282826	2	2	2	2
SRR19392190	1	1	1	1
SRR17349429	7	3	7	3
SRR6488524	7	9	7	9
SRR6674571	3	2	3	2
SRR11445789	3	2	3	2
ERR4552846	1	1	1	1
SRR8875114	3	?	3	?
SRR10960868	1	1	1	1
SRR10161131	?	?	?	?
SRR10058437	3	?	?	?
SRR25784112	1	1	1	1
SRR14242169	3	2	3	2
SRR28616369	?	?	5	1
SRR25222456	9	2	9	2
SRR28420316	1	1	1	1
SRR28752575	5	1	5	1
SRR28388435	1	1	1	1
SRR24842856	5	1	5	1
SRR24843224	5	1	5	1
SRR12389606	2	1	1	1
SRR16183372	7	9	7	9
SRR16359825	9	2	9	2
SRR18273486	3	2	3	2
SRR29953199	5	1	5	1
SRR28995130	1	1	1	1
SRR28834894	5	1	5	1
SRR29478187	1	1	1	1
SRR29740684	5	1	5	1
SRR29267690	1	1	1	1
SRR29281458	5	1	5	1
SRR29360508	3	2	3	2
SRR29377906	5	1	5	1
SRR29008735	1	1	1	1
ERR13358295	3	2	3	2
SRR30027734	1	1	1	1
SRR27384583	3	2	3	2
SRR29679773	?	?	1	1
SRR29694544	5	1	5	1
SRR27181070	3	2	3	2
SRR27181289	3	2	3	2
SRR27181508	3	2	3	2
SRR27181727	3	2	3	2
SRR30714663	3	2	3	2
SRR30561701	3	2	3	2
SRR30589499	3	2	3	2
SRR3098139	?	?	6	6
SRR5930382	1	?	1	?
SRR5428796	1	?	1	?
SRR7974501	3	?	3	?
SRR14341101	1	1	1	1
SRR27709510	?	?	?	?
SRR27490373	1	1	1	1
SRR24839086	5	1	5	1
SRR24839305	5	1	5	1
SRR24839524	5	1	5	1
SRR24839743	5	1	5	1
SRR24843262	5	1	5	1
SRR28073569	?	?	1	1
ERR3474582	3	2	3	2
SRR15282375	2	2	2	2
SRR15282601	2	2	2	2
SRR15282827	2	2	2	2
SRR19392191	1	1	1	1
SRR17349430	7	3	7	3
SRR6488525	7	9	7	9
SRR6674572	3	2	3	2
SRR11445790	3	2	3	2
ERR4552883	1	1	1	1
SRR8875115	3	?	3	?
SRR10960869	1	1	1	1
SRR10161132	?	?	?	?
SRR10058438	3	?	?	?
SRR14242170	3	2	3	2
SRR28616370	?	?	5	1
SRR25222457	9	1	9	1
SRR28420331	3	2	3	2
SRR28752576	5	1	5	1
SRR28388436	?	?	1	?
SRR24842857	5	1	5	1
SRR24843225	5	1	5	1
SRR12389607	1	9	11	9
SRR16183373	7	9	7	9
SRR16359826	9	2	9	2
SRR18273487	3	2	3	2
SRR29953200	5	1	5	1
SRR28995131	1	1	1	1
SRR28834895	5	1	5	1
SRR29478188	3	2	3	2
SRR29740685	5	1	5	1
SRR29267691	3	2	3	2
SRR29281459	5	1	5	1
SRR29360509	3	2	3	2
SRR29377907	5	1	5	1
SRR29008736	1	1	1	1
ERR13358296	3	2	3	2
SRR30027735	3	2	3	2
SRR27384584	3	2	3	2
SRR29679774	?	?	1	1
SRR29694545	5	1	5	1
SRR27181071	?	2	?	?
SRR27181290	3	2	3	2
SRR27181509	1	1	1	1
SRR27181728	3	2	3	2
SRR30561702	3	2	3	2
SRR30589500	3	2	3	2
SRR3098141	?	?	5	6
SRR5930383	1	?	1	?
SRR5428797	1	?	1	?
SRR7974502	3	?	3	?
SRR14341102	1	1	1	1
SRR27709511	?	?	?	?
SRR27490374	1	1	1	1
SRR24839087	5	1	5	1
SRR24839306	5	1	5	1
SRR24839525	5	1	5	1
